latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
-74.52593757222222,163.45791649722221,25.9664,23.99583,314,2018,0.99962172,-242935.618
-74.52593753333333,163.45791704999996,25.9598,23.99167,314,2018,0.99962172,-246147.320
-74.52593753333333,163.4579166583333,25.9603,23.98750,314,2018,0.99962172,-249360.206
-74.52593753333333,163.4579170222222,25.9653,23.98333,314,2018,0.99962172,-252574.103
-74.5259374861111,163.45791699166665,25.9636,23.97917,314,2018,0.99962172,-255788.147
-74.52593750277778,163.45791710833333,25.9677,23.97500,314,2018,0.99962172,-259003.272
-74.52593747777777,163.45791721111107,25.9589,23.97083,314,2018,0.99962172,-262219.228
-74.52593751111112,163.4579170944444,25.9676,23.96667,314,2018,0.99962172,-265436.012
-74.52593754444445,163.4579172222222,25.9768,23.96250,314,2018,0.99962172,-268654.059
-74.52593752777776,163.45791708888885,25.9713,23.95833,314,2018,0.99962172,-271872.876
-74.52593742222223,163.457917125,25.9503,23.95417,314,2018,0.99962172,-275092.981
-74.52593751388889,163.45791714444442,25.9729,23.95000,314,2018,0.99962172,-278314.014
-74.52593753055554,163.4579170694444,25.9696,23.94583,314,2018,0.99962172,-281536.105
-74.52593754444445,163.45791709999995,25.9794,23.94167,314,2018,0.99962172,-284758.905
-74.5259375,163.45791702777777,25.9515,23.93750,314,2018,0.99962172,-287982.548
-74.52593754444445,163.45791716388888,25.9714,23.93333,314,2018,0.99962172,-291207.015
-74.52593755555556,163.45791713333332,25.9945,23.92917,314,2018,0.99962172,-294432.682
-74.52593755,163.45791717222218,25.9791,23.92500,314,2018,0.99962172,-297659.589
-74.52593750555555,163.45791674999998,25.9465,23.92083,314,2018,0.99962172,-300888.039
-74.52593755277778,163.45791724999998,25.976,23.91667,314,2018,0.99962172,-304117.477
-74.5259374611111,163.45791746388886,25.9905,23.91250,314,2018,0.99962172,-307348.098
-74.52593754166666,163.45791720277774,25.9776,23.90833,314,2018,0.99962172,-310580.025
-74.52593755277778,163.45791704166666,25.972,23.90417,314,2018,0.99962172,-313812.145
-74.52593755277778,163.45791713333332,25.9798,23.90000,314,2018,0.99962172,-317045.076
-74.52593761666667,163.45791723888888,26.0015,23.89583,314,2018,0.99962172,-320278.056
-74.52593753888888,163.45791717499998,25.9843,23.89167,314,2018,0.99962172,-323512.315
-74.52593755555556,163.4579169694444,25.9759,23.88750,314,2018,0.99962172,-326747.201
-74.52593753888888,163.4579172194444,25.98,23.88333,314,2018,0.99962172,-329983.248
-74.52593753611112,163.45791709722218,25.9828,23.87917,314,2018,0.99962172,-333220.584
-74.52593754166666,163.45791721388886,25.9786,23.87500,314,2018,0.99962172,-336458.162
-74.5259375,163.45791727222218,25.9744,23.87083,314,2018,0.99962172,-339695.770
-74.52593751111112,163.4579171388889,25.9731,23.86667,314,2018,0.99962172,-342933.459
-74.52593751666666,163.45791733055552,25.9806,23.86250,314,2018,0.99962172,-346172.000
-74.52593750833334,163.45791713055556,25.9786,23.85833,314,2018,0.99962172,-349412.001
-74.52593754444445,163.45791740555558,25.9872,23.85417,314,2018,0.99962172,-352651.973
-74.52593751944444,163.45791719722217,25.9818,23.85000,314,2018,0.99962172,-355892.843
-74.52593751944444,163.45791736666666,25.9955,23.84583,314,2018,0.99962172,-359134.365
-74.52593752777776,163.45791714166666,25.9843,23.84167,314,2018,0.99962172,-362376.622
-74.52593748055556,163.45791759166661,25.9701,23.83750,314,2018,0.99962172,-365620.133
-74.52593750833334,163.45791712777776,25.9772,23.83333,314,2018,0.99962172,-368865.138
-74.52593742777779,163.45791709722218,25.9695,23.82917,314,2018,0.99962172,-372110.744
-74.52593750555555,163.4579171833333,25.9818,23.82500,314,2018,0.99962172,-375357.673
-74.52593756666666,163.45791708333329,26.0065,23.82083,314,2018,0.99962171,-378605.345
-74.52593752499999,163.45791716388888,25.9913,23.81667,314,2018,0.99962172,-381855.081
-74.52593750833334,163.45791751111113,25.9943,23.81250,314,2018,0.99962172,-385105.205
-74.52593751944444,163.45791717222218,25.9843,23.80833,314,2018,0.99962172,-388356.003
-74.52593747499999,163.4579172055555,25.9852,23.80417,314,2018,0.99962172,-391607.816
-74.52593751111112,163.45791708333329,25.9842,23.80000,314,2018,0.99962172,-394860.722
-74.52593750277778,163.45791690833332,25.9836,23.79583,314,2018,0.99962172,-398114.425
-74.52593749722222,163.45791707499995,25.9866,23.79167,314,2018,0.99962172,-401369.937
-74.52593746944444,163.45791714722222,25.9761,23.78750,314,2018,0.99962172,-404626.444
-74.52593750833334,163.45791717777774,25.9856,23.78333,314,2018,0.99962172,-407884.058
-74.52593755277778,163.45791714722222,26.0289,23.77917,314,2018,0.99962171,-411143.073
-74.52593751666666,163.45791714722222,25.9943,23.77500,314,2018,0.99962172,-414402.972
-74.52593752222222,163.45791679166663,25.994,23.77083,314,2018,0.99962172,-417664.667
-74.52593750833334,163.45791708055552,25.9873,23.76667,314,2018,0.99962172,-420927.328
-74.52593753611112,163.4579169861111,26.005,23.76250,314,2018,0.99962171,-424190.584
-74.52593752222222,163.4579170611111,25.9978,23.75833,314,2018,0.99962172,-427454.340
-74.52593748888889,163.45791709722218,25.996,23.75417,314,2018,0.99962172,-430718.394
-74.52593752222222,163.45791701666664,25.9998,23.75000,314,2018,0.99962172,-433983.088
-74.52593753611112,163.4579171833333,26.005,23.74583,314,2018,0.99962171,-437249.274
-74.52593752777776,163.45791699166665,25.9952,23.74167,314,2018,0.99962172,-440515.793
-74.52593754166666,163.4579170111111,25.9876,23.73750,314,2018,0.99962172,-443783.395
-74.52593751666666,163.4579170694444,25.9977,23.73333,314,2018,0.99962172,-447051.935
