latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
-74.42556025277779,163.41853351111112,64.4066,23.99167,313,2018,0.99961739,-42.093
-74.42556024444447,163.41853343888886,64.4072,23.98333,313,2018,0.99961739,-42.261
-74.42556024722224,163.41853349166666,64.3995,23.97500,313,2018,0.99961739,-42.200
-74.42556025,163.41853361111112,64.4134,23.96667,313,2018,0.99961739,-42.335
-74.42556024166669,163.41853355277775,64.4191,23.95833,313,2018,0.99961739,-42.256
-74.42556024444447,163.41853349722217,64.4235,23.95000,313,2018,0.99961739,-42.187
-74.42556025833332,163.41853338888885,64.4235,23.94167,313,2018,0.99961739,-42.498
-74.42556023611112,163.41853350555556,64.4241,23.93333,313,2018,0.99961739,-42.476
-74.42556027222223,163.4185335361111,64.4323,23.92500,313,2018,0.99961739,-42.470
-74.4255602388889,163.41853352777778,64.4139,23.91667,313,2018,0.99961739,-42.421
-74.42556023055558,163.41853358611107,64.4295,23.90833,313,2018,0.99961739,-42.499
-74.42556017222225,163.41853356388884,64.4171,23.90000,313,2018,0.99961739,-42.388
-74.4255602388889,163.41853351111112,64.4286,23.89167,313,2018,0.99961739,-42.400
-74.42556018333333,163.4185335944444,64.4322,23.88333,313,2018,0.99961739,-42.775
-74.42556023333336,163.41853366944443,64.4348,23.87500,313,2018,0.99961739,-42.691
-74.4255602277778,163.4185336861111,64.4227,23.86667,313,2018,0.99961739,-42.718
-74.42556022222224,163.41853363055557,64.4315,23.85833,313,2018,0.99961739,-42.566
-74.42556025,163.41853370555552,64.4303,23.85000,313,2018,0.99961739,-42.488
-74.42556020277779,163.41853366666666,64.4357,23.84167,313,2018,0.99961739,-42.310
-74.42556018055556,163.4185336972222,64.4317,23.83333,313,2018,0.99961739,-42.309
-74.4255602277778,163.41853376666666,64.4462,23.82500,313,2018,0.99961739,-42.308
-74.4255601888889,163.41853370555552,64.4326,23.81667,313,2018,0.99961739,-42.406
-74.42556021944445,163.4185336972222,64.4436,23.80833,313,2018,0.99961739,-42.363
-74.42556015555559,163.41853361944445,64.436,23.80000,313,2018,0.99961739,-42.575
-74.4255601777778,163.4185336416667,64.4552,23.79167,313,2018,0.99961738,-42.803
-74.42556014444445,163.41853362222218,64.4559,23.78333,313,2018,0.99961738,-42.709
-74.42556015833337,163.41853382222217,64.4532,23.77500,313,2018,0.99961738,-42.557
-74.42556017222225,163.41853378055555,64.4508,23.76667,313,2018,0.99961738,-42.616
-74.42556016111115,163.41853372222215,64.4547,23.75833,313,2018,0.99961738,-42.485
-74.42556023333336,163.41853379999998,64.4729,23.75000,313,2018,0.99961738,-42.154
-74.42556024722224,163.41853359722222,64.4663,23.74167,313,2018,0.99961738,-41.881
-74.42556022222224,163.4185336027777,64.4661,23.73333,313,2018,0.99961738,-41.822
-74.42556024166669,163.4185335694444,64.4697,23.72500,313,2018,0.99961738,-41.598
-74.42556021944445,163.41853357777774,64.4767,23.71667,313,2018,0.99961738,-41.328
-74.4255602111111,163.41853350555556,64.479,23.70833,313,2018,0.99961738,-41.180
-74.42556023333336,163.41853357777774,64.4847,23.70000,313,2018,0.99961738,-41.118
-74.4255602,163.41853365277777,64.4649,23.69167,313,2018,0.99961738,-40.845
-74.42556023055558,163.41853357777774,64.4689,23.68333,313,2018,0.99961738,-40.581
-74.42556017500002,163.4185334333333,64.4745,23.67500,313,2018,0.99961738,-40.392
-74.42556019444444,163.41853356111108,64.4743,23.66667,313,2018,0.99961738,-39.937
-74.42556019444444,163.41853377222222,64.4705,23.65833,313,2018,0.99961738,-39.719
-74.42556016666668,163.41853359722222,64.4823,23.65000,313,2018,0.99961738,-39.489
-74.4255601527778,163.4185335555555,64.4705,23.64167,313,2018,0.99961738,-39.397
-74.42556018611111,163.4185335944444,64.4834,23.63333,313,2018,0.99961738,-39.026
-74.42556016944447,163.4185334583333,64.485,23.62500,313,2018,0.99961738,-38.699
-74.4255601777778,163.4185334472222,64.4809,23.61667,313,2018,0.99961738,-38.363
-74.42556013333333,163.41853361666668,64.4768,23.60833,313,2018,0.99961738,-38.069
-74.4255601888889,163.41853357499997,64.4864,23.60000,313,2018,0.99961738,-37.871
-74.42556013333333,163.41853351111112,64.4865,23.59167,313,2018,0.99961738,-37.681
-74.42556018611111,163.4185336416667,64.4879,23.58333,313,2018,0.99961738,-37.680
-74.42556017500002,163.41853361666668,64.5031,23.57500,313,2018,0.99961738,-37.252
-74.42556018055556,163.41853361111112,64.5095,23.56667,313,2018,0.99961738,-37.160
-74.4255602111111,163.4185336027777,64.5058,23.55833,313,2018,0.99961738,-37.205
-74.42556018055556,163.4185336472222,64.5063,23.55000,313,2018,0.99961738,-37.226
-74.42556014722223,163.41853365833333,64.4833,23.54167,313,2018,0.99961738,-37.494
-74.42556025833332,163.4185337194444,64.5006,23.53333,313,2018,0.99961738,-37.503
-74.42556015555559,163.41853363888887,64.5023,23.52500,313,2018,0.99961738,-37.633
-74.42556015555559,163.41853366666666,64.5094,23.51667,313,2018,0.99961738,-37.725
-74.42556011944446,163.41853369444442,64.509,23.50833,313,2018,0.99961738,-37.949
-74.42556015000001,163.41853373055557,64.4998,23.50000,313,2018,0.99961738,-38.461
-74.4255601388889,163.41853381388887,64.494,23.49167,313,2018,0.99961738,-38.888
-74.42556014722223,163.41853380277777,64.516,23.48333,313,2018,0.99961737,-38.681
